Nomor,Kategori asset,Nama asset,Fungsi,Penggunaan,Ukuran,Format,Versi warna,Nama file,Folder tujuan,Prioritas,Pengguna utama,Status,Catatan teknis
1,Brand strategy,brand_foundation,Brand foundation/tokens,00-brand-strategy,N/A,MD,Black/White/Brand as named,brand_foundation.md,00-brand-strategy,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
2,Brand strategy,platform_specs,Brand foundation/tokens,00-brand-strategy,N/A,MD,Black/White/Brand as named,platform_specs.md,00-brand-strategy,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
3,Brand strategy,brand-tokens,Brand foundation/tokens,00-brand-strategy,N/A,CSS,Black/White/Brand as named,brand-tokens.css,00-brand-strategy,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
4,Brand strategy,brand-tokens,Brand foundation/tokens,00-brand-strategy,N/A,JSON,Black/White/Brand as named,brand-tokens.json,00-brand-strategy,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
5,Brand strategy,typography,Brand foundation/tokens,00-brand-strategy,N/A,CSS,Black/White/Brand as named,typography.css,00-brand-strategy,Wajib,"Designer, Developer, Marketing",PRODUCTION / REVIEW,Derived from approved master; see guideline.
6,Logo master,sentra-logomark-approved-reference,Source of truth / master exports,01-logo-master,Platform-specific,PNG,Black/White/Brand as named,sentra-logomark-approved-reference.png,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
7,Logo master,sentra-logomark-construction-grid,Source of truth / master exports,01-logo-master,Vector / file-specific,SVG,Black/White/Brand as named,sentra-logomark-construction-grid.svg,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
8,Logo master,sentra-logomark-currentcolor,Source of truth / master exports,01-logo-master,Vector / file-specific,SVG,Black/White/Brand as named,sentra-logomark-currentcolor.svg,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
9,Logo master,sentra-logomark-master-black-1024,Source of truth / master exports,01-logo-master,Platform-specific,PNG,Black/White/Brand as named,sentra-logomark-master-black-1024.png,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
10,Logo master,sentra-logomark-master-black-2048,Source of truth / master exports,01-logo-master,Platform-specific,PNG,Black/White/Brand as named,sentra-logomark-master-black-2048.png,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
11,Logo master,sentra-logomark-master-black-256,Source of truth / master exports,01-logo-master,Platform-specific,PNG,Black/White/Brand as named,sentra-logomark-master-black-256.png,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
12,Logo master,sentra-logomark-master-black-512,Source of truth / master exports,01-logo-master,Platform-specific,PNG,Black/White/Brand as named,sentra-logomark-master-black-512.png,01-logo-master,Wajib,"Designer, Developer",PRODUCTION / REVIEW,Derived from approved master; see guideline.
