source_id,status,authority_tier,document_role,title,effective_date,supersedes_or_amends,scope,machine_readability,ingest_priority,source_url,notes
PP-57-2021,CURRENT,1,LEGAL_BASE,PP Nomor 57 Tahun 2021 tentang Standar Nasional Pendidikan,2021-03-31,Diubah dengan PP Nomor 4 Tahun 2022,Landasan Standar Nasional Pendidikan,HTML + PDF,P0,https://peraturan.bpk.go.id/Details/165024/ppno-57-tahun-2021,Gunakan bersama PP Nomor 4 Tahun 2022.
PP-4-2022,CURRENT,1,LEGAL_AMENDMENT,PP Nomor 4 Tahun 2022 tentang Perubahan atas PP Nomor 57 Tahun 2021,2022-01-12,Mengubah PP Nomor 57 Tahun 2021,Perubahan Standar Nasional Pendidikan,HTML + PDF,P0,https://peraturan.bpk.go.id/Details/196151,
PERMENDIKBUDRISTEK-12-2024,CURRENT_AS_AMENDED,1,CURRICULUM_REGULATION,Permendikbudristek Nomor 12 Tahun 2024 tentang Kurikulum,2024-03-26,Diubah dengan Permendikdasmen Nomor 13 Tahun 2025,Kerangka dasar dan struktur kurikulum,HTML + PDF,P0,https://peraturan.bpk.go.id/Details/281847/permendikbudriset-no-12-tahun-2024,Jangan dibaca tanpa amendemen 13/2025.
PERMENDIKDASMEN-13-2025,CURRENT,1,CURRICULUM_AMENDMENT,Permendikdasmen Nomor 13 Tahun 2025 tentang Perubahan atas Permendikbudristek 12/2024,2025-07-15,Mengubah Permendikbudristek Nomor 12 Tahun 2024,"Penyesuaian kurikulum, pembelajaran mendalam, Koding dan KA, kokurikuler, ekstrakurikuler",HTML + PDF,P0,https://peraturan.bpk.go.id/Details/322506/permendikdasmen-no-13-tahun-2025,Bukan kurikulum nasional baru; merupakan perubahan atas regulasi 2024.
PERMENDIKDASMEN-10-2025,CURRENT,1,GRADUATE_STANDARD,Permendikdasmen Nomor 10 Tahun 2025 tentang Standar Kompetensi Lulusan,2025-06-13,Mencabut Permendikbudristek Nomor 5 Tahun 2022,Standar kompetensi lulusan dan profil lulusan,HTML + PDF,P0,https://peraturan.bpk.go.id/Details/321419/permendikdasmen-n,
PERMENDIKDASMEN-12-2025,CURRENT,1,CONTENT_STANDARD,Permendikdasmen Nomor 12 Tahun 2025 tentang Standar Isi,2025-07-15,Mencabut Permendikbudristek Nomor 8 Tahun 2024,Kriteria minimal ruang lingkup materi,HTML + PDF,P0,https://peraturan.bpk.go.id/Details/322494/permendikdasmen-no-12-tahun-2025,
PERMENDIKDASMEN-1-2026,CURRENT,1,PROCESS_STANDARD,Permendikdasmen Nomor 1 Tahun 2026 tentang Standar Proses,2026-01-05,Mencabut Permendikbudristek Nomor 16 Tahun 2022,"Perencanaan, pelaksanaan, dan penilaian proses pembelajaran",HTML + PDF,P0,https://peraturan.bpk.go.id/Details/344196/permendikdasmen-no-1-tahun-2026,
PERMENDIKBUDRISTEK-21-2022,CURRENT,1,ASSESSMENT_STANDARD,Permendikbudristek Nomor 21 Tahun 2022 tentang Standar Penilaian Pendidikan,2022-04-28,,Standar penilaian pendidikan,HTML + PDF,P0,https://peraturan.bpk.go.id/Details/224425/permendikbudriset-no-21-tahun%20-2022,Status tercatat berlaku pada basis data BPK saat paket disusun.
BSKAP-046-2025,CURRENT_EXCEPT_RELIGION,1,NORMATIVE_CP,Keputusan Kepala BSKAP Nomor 046/H/KR/2025 tentang Capaian Pembelajaran,2025-07-16,Mencabut Keputusan BSKAP Nomor 032/H/KR/2024; sebagian CP agama diubah oleh 020/2026,"CP PAUD, pendidikan dasar, dan pendidikan menengah",PDF text layer,P0,https://bpmpbabel.kemendikdasmen.go.id/PPID/wp-content/uploads/2025/07/KepKaBSKAP-046_2025-ttg-CP.pdf,SHA-256 paket lokal: 45809d2c88a612f90ee5adbd60d71a8952527d6924c626d126ea6926ae3d3394
BKPDM-020-2026,CURRENT,1,NORMATIVE_CP_AMENDMENT,Keputusan Kepala BKPDM Nomor 020 Tahun 2026 tentang Perubahan atas 046/H/KR/2025,2026-06-11,Mengubah CP Pendidikan Agama dan Budi Pekerti pada Lampiran II dan Lampiran V 046/2025,CP Pendidikan Agama dan Budi Pekerti serta pendidikan khusus terkait,Scanned PDF / image only,P0,https://drive.google.com/file/d/10F_OswOAovVOU0wTfZiETDGaULt2PVzW/view,Salinan publik terverifikasi visual; SHA-256 paket lokal: 598278746b0f62333fdcab520d5dd4c1a9650c94bd3906acff4254100976552b
